city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
leipzig,germany,Leipzig,Germany,51.33962,12.37129,resolved,GeoNames cities500,2879139,Leipzig,canonical/ascii match
leuven,belgium,Leuven,Belgium,50.87959,4.70093,resolved,GeoNames cities500,2792482,Leuven,canonical/ascii match
lima,peru,Lima,Peru,-12.04318,-77.02824,resolved,GeoNames cities500,3936456,Lima,canonical/ascii match
linz,austria,Linz,Austria,48.30639,14.28611,resolved,GeoNames cities500,2772400,Linz,canonical/ascii match
liverpool,united kingdom,Liverpool,United Kingdom,53.41058,-2.97794,resolved,GeoNames cities500,2644210,Liverpool,canonical/ascii match
london,england,London,England,51.50853,-0.12574,resolved,GeoNames cities500,2643743,London,canonical/ascii match
london,united kingdom,London,United Kingdom,51.50853,-0.12574,resolved,GeoNames cities500,2643743,London,canonical/ascii match
los angeles,united states,Los Angeles,United States,34.05223,-118.24368,resolved,GeoNames cities500,5368361,Los Angeles,canonical/ascii match
los angeles,united states of america,Los Angeles,United States of America,34.05223,-118.24368,resolved,GeoNames cities500,5368361,Los Angeles,canonical/ascii match
los angeles,usa,Los Angeles,USA,34.05223,-118.24368,resolved,GeoNames cities500,5368361,Los Angeles,canonical/ascii match
lucknow,india,Lucknow,India,26.83928,80.92313,resolved,GeoNames cities500,1264733,Lucknow,canonical/ascii match
lviv,ukraine,Lviv,Ukraine,49.83826,24.02324,resolved,GeoNames cities500,702550,Lviv,canonical/ascii match
lyon,france,Lyon,France,45.74906,4.84789,resolved,GeoNames cities500,2996944,Lyon,canonical/ascii match
madrid,spain,Madrid,Spain,40.4165,-3.70256,resolved,GeoNames cities500,3117735,Madrid,canonical/ascii match
mainz,germany,Mainz,Germany,49.98185,8.28008,resolved,GeoNames cities500,2874225,Mainz,canonical/ascii match
manchester,united kingdom,Manchester,United Kingdom,53.48095,-2.23743,resolved,GeoNames cities500,2643123,Manchester,canonical/ascii match
mansehra,pakistan,Mansehra,Pakistan,34.33023,73.19679,resolved,GeoNames cities500,1170951,Mansehra,canonical/ascii match
mardan,pakistan,Mardan,Pakistan,34.19794,72.04965,resolved,GeoNames cities500,1170880,Mardan,canonical/ascii match
"mardan, khyber pakhtunkhwa, pakistan",pakistan,"Mardan, Khyber Pakhtunkhwa, Pakistan",Pakistan,34.19794,72.04965,resolved,GeoNames cities500,1170880,Mardan,canonical/ascii match
mathura,india,Mathura,India,27.5035,77.67215,resolved,GeoNames cities500,1263364,Mathura,canonical/ascii match
maurepas,france,Maurepas,France,48.76486,1.92923,resolved,GeoNames cities500,2995041,Maurepas,canonical/ascii match
mckinney,united states,McKinney,United States,33.19762,-96.61527,resolved,GeoNames cities500,4710178,McKinney,canonical/ascii match
meknes,morocco,meknes,morocco,33.89352,-5.54727,resolved,GeoNames cities500,2542715,Meknes,canonical/ascii match
merida,mexico,Merida,Mexico,20.967,-89.62318,resolved,GeoNames cities500,3523349,Mérida,canonical/ascii match
